platform,forum_url,forum_title,date,username,body,blockquote,media
HardwareZone,https://forums.hardwarezone.com.sg/threads/chinese-boycott-against-nike-and-adidas-over-xinjiang-cotton-appears-to-be-losing-steam.6489955/,Chinese boycott against Nike and Adidas over Xinjiang cotton appears to be losing steam,2021-03-30 19:16:30+00:00,xcodes,"https://sg.news.yahoo.com/chinese-boycott-against-nike-adidas-110802371.html







A Chinese consumer boycott against international brands such as Nike and Adidas appeared to be losing steam over the weekend.

Nationalists had called for a boycott after statements expressing concern about allegations of forced labour in Xinjiang resurfaced and a number of celebrities, including the Hong Kong singer Eason Chan, publicly cut their ties with the sportswear giants.

But sports teams remained largely silent over their deals with the companies and their products remained on sale online – with demand remaining high.",,https://s.yimg.com/ny/api/res/1.2/aFJU63LVbArUmSPPyvGHVQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTk2MDtoPTU0MDtjZj13ZWJw/https://s.yimg.com/uu/api/res/1.2/elsbArztQRaxYaD6we9oNw--~B/aD03MjA7dz0xMjgwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/south_china_morning_post_621/ccdd87016fcdbae04820e9cdf9ad15b0
HardwareZone,https://forums.hardwarezone.com.sg/threads/chinese-boycott-against-nike-and-adidas-over-xinjiang-cotton-appears-to-be-losing-steam.6489955/,Chinese boycott against Nike and Adidas over Xinjiang cotton appears to be losing steam,2021-03-30 19:19:53+00:00,Moonnite_Firefly,"just a repeat of apple vs huawei... say will boycott apple defend huawei... in the end, haben three months lose steam liao~~

this time more satki... haben one month lose steam liao~~

really is body very honest~~",,
HardwareZone,https://forums.hardwarezone.com.sg/threads/chinese-boycott-against-nike-and-adidas-over-xinjiang-cotton-appears-to-be-losing-steam.6489955/,Chinese boycott against Nike and Adidas over Xinjiang cotton appears to be losing steam,2021-03-30 19:23:01+00:00,Krabs.,those 爱国 ppl say their national sports teams don't dare to break the contract because the brands fund their athletes,,
HardwareZone,https://forums.hardwarezone.com.sg/threads/chinese-boycott-against-nike-and-adidas-over-xinjiang-cotton-appears-to-be-losing-steam.6489955/,Chinese boycott against Nike and Adidas over Xinjiang cotton appears to be losing steam,2021-03-30 19:23:16+00:00,xcodes,"typically it's

嘴上说不要，身体却很诚实 。。。",,
HardwareZone,https://forums.hardwarezone.com.sg/threads/chinese-boycott-against-nike-and-adidas-over-xinjiang-cotton-appears-to-be-losing-steam.6489955/,Chinese boycott against Nike and Adidas over Xinjiang cotton appears to be losing steam,2021-03-30 19:24:30+00:00,shock,Can now Low ball all those artists who terminate their contract.,,
HardwareZone,https://forums.hardwarezone.com.sg/threads/chinese-boycott-against-nike-and-adidas-over-xinjiang-cotton-appears-to-be-losing-steam.6489955/,Chinese boycott against Nike and Adidas over Xinjiang cotton appears to be losing steam,2021-03-30 19:24:36+00:00,GundamG,never wear their clothes will die?,,
HardwareZone,https://forums.hardwarezone.com.sg/threads/chinese-boycott-against-nike-and-adidas-over-xinjiang-cotton-appears-to-be-losing-steam.6489955/,Chinese boycott against Nike and Adidas over Xinjiang cotton appears to be losing steam,2021-03-30 19:25:08+00:00,TwMilkTeaTw,Dont believe la. Those AT...,,
HardwareZone,https://forums.hardwarezone.com.sg/threads/chinese-boycott-against-nike-and-adidas-over-xinjiang-cotton-appears-to-be-losing-steam.6489955/,Chinese boycott against Nike and Adidas over Xinjiang cotton appears to be losing steam,2021-03-30 19:26:06+00:00,bigrooster,"Many of such boycott advocates are hypocrites themselves.

I bet they keep stashes of such foreign brands at home, not to mention they will quietly buy and use some more.",,
HardwareZone,https://forums.hardwarezone.com.sg/threads/chinese-boycott-against-nike-and-adidas-over-xinjiang-cotton-appears-to-be-losing-steam.6489955/,Chinese boycott against Nike and Adidas over Xinjiang cotton appears to be losing steam,2021-03-30 19:26:21+00:00,maxieb,Lol at eason this ccp bootlicker,,
HardwareZone,https://forums.hardwarezone.com.sg/threads/chinese-boycott-against-nike-and-adidas-over-xinjiang-cotton-appears-to-be-losing-steam.6489955/,Chinese boycott against Nike and Adidas over Xinjiang cotton appears to be losing steam,2021-03-30 19:27:23+00:00,Mando99,"State ran social media boycott.

It didnt work frm day 1.

This ish the way.",,
